"brand_name","generic_name","years_with_data","mean_beneficiaries","latest_beneficiaries","mean_dosage_unit","latest_dosage_unit"
"Solu-Cortef","Hydrocortisone Sod Succinate",12,658.3,1220,15631.1,11029
"Bss","Balanced Salt Irrig Soln No.2",12,54.1,59,8022.6,11009
"Heparin Sodium*","Heparin Sodium,Porcine/PF",9,337.2,190,24981.4,10986.13
"Ultravate","Halobetasol Propionate",9,233.7,107,27566.6,10980
"Zumandimine","Ethinyl Estradiol/Drospirenone",4,111,64,17794.5,10976
"Pamidronate Disodium","Pamidronate Disodium",12,176.5,133,10845.1,10857
"Nilutamide","Nilutamide",8,148.6,61,22370.8,10852
"Cinryze","C1 Esterase Inhibitor",10,149.5,50,30112.6,10840
"Yasmin 28","Ethinyl Estradiol/Drospirenone",12,76.5,42,19296.6,10752
"Amrix","Cyclobenzaprine HCl",12,1232.5,38,161977.5,10749
"Basaglar Tempo Pen U-100","Insulin Glargine,Hum.Rec.Anlog",1,458,458,10668,10668
"Rezvoglar Kwikpen","Insulin Glargine-Aglr",1,421,421,10664,10664
"Vectibix","Panitumumab",12,39.8,64,6374.8,10650
"Pramosone","Hydrocortisone/Pramoxine",12,801.7,93,127793.3,10638.6
"Albutein","Albumin Human",11,14.3,13,14109.3,10617
"Preplus","PNV,Calcium 72/Iron/Folic Acid",10,5019.5,146,641894.5,10578
"Questran Light","Cholestyramine/Aspartame",12,35.1,NA,33587.5,10560
"Tri-Nymyo","Norgestimate-Ethinyl Estradiol",3,84,75,11489.3,10528
"Albumin (Human)","Albumin Human",6,18,NA,14908.7,10500
"Combivir","Lamivudine/Zidovudine",12,644.7,25,188679.7,10499.998
"Prednicarbate","Prednicarbate",12,1124.7,130,63087.1,10470
"Cytogam","Cytomegalovirus Immune Globuln",7,14.7,NA,10644.9,10450
"Kyprolis","Carfilzomib",7,121.9,181,5912,10435
"Xiaflex","Collagenase Clostridium Hist.",12,1765.6,4112,4129.1,10335
"Halog","Halcinonide",12,1380.3,61,194101.7,10280
