"brand_name","generic_name","years_with_data","mean_beneficiaries","latest_beneficiaries","mean_dosage_unit","latest_dosage_unit"
"Memantine HCl","Memantine HCl",9,683602.4,892907,283132394.9,393631120.98
"Bupropion XL","Bupropion HCl",12,828725.2,1325901,220199858.1,381292022.13
"Donepezil HCl","Donepezil HCl",12,1340155.9,1468151,326977976.8,379762070.1
"Clonidine HCl","Clonidine HCl",12,946161.9,915528,390935594.8,374381123.59
"Ammonium Lactate","Ammonium Lactate",12,395469.6,491025,292451752.3,367627959.33
"Warfarin Sodium","Warfarin Sodium",12,1766664.6,942245,615084543.9,357833832.08
"Venlafaxine HCl ER","Venlafaxine HCl",12,793377.8,954551,275472900.6,357425008.8
"Xarelto","Rivaroxaban",12,913781.2,1324165,211781915.5,353267092.74
"Lamotrigine","Lamotrigine",12,501066.2,611083,264523784.4,348808034.44
"Mirtazapine","Mirtazapine",12,1212510,1551607,231824513.8,331574731.97
"Celecoxib","Celecoxib",10,1008580.5,1627703,204340573.6,328745706.8
"Isosorbide Mononitrate ER","Isosorbide Mononitrate",12,1111498.8,1121415,304491533.3,328024399.09
"Hydroxyzine HCl*","Hydroxyzine HCl",10,806887,1319270,179992885.7,324681022.3
"Ketoconazole*","Ketoconazole",10,1259913.4,1750875,204139836.3,321237438.59
"Propranolol HCl*","Propranolol HCl",10,522886.2,671925,233433789.9,320248625.91
"Topiramate","Topiramate",12,537864.4,644196,260140936.7,315425244.42
"Valsartan","Valsartan",10,807186.8,1011848,213430020,314714002.5
"Ropinirole HCl","Ropinirole HCl",12,546539,657631,239004934.2,313959465.12
"Synthroid","Levothyroxine Sodium",12,1042877.6,1002444,314783432.9,312353257.07
"Divalproex Sodium","Divalproex Sodium",12,422713.7,448623,276956941.1,300818146.97
"Glipizide ER","Glipizide",12,607714.2,815324,200792546,296705942.02
"Entresto","Sacubitril/Valsartan",9,262795.4,663587,114158855.8,294653475.5
"Fluticasone Propionate*","Fluticasone Propionate",10,4451945.2,4902813,256878537.4,294139968.22
"Diltiazem 24hr ER (Cd)","Diltiazem HCl",10,826254.4,965356,209186843.9,280155954.14
"Nystatin*","Nystatin",10,1295713.2,1571473,259159024.4,277052985.96
"Zolpidem Tartrate*","Zolpidem Tartrate",10,1611831.7,1435449,254710742.6,269038128.65
"Nifedipine ER","Nifedipine",12,643974.1,849024,179255577.3,259598926.78
"Amitriptyline HCl","Amitriptyline HCl",12,804258.6,838449,239346211.9,255744614.73
"Dicyclomine HCl*","Dicyclomine HCl",10,741557.3,887927,207455907.6,254181808.24
"Vascepa","Icosapent Ethyl",11,175271.1,279946,138431053.7,244927465.16
"Torsemide","Torsemide",12,416994.2,675579,141549038.3,238873374.57
"Hydroxychloroquine Sulfate","Hydroxychloroquine Sulfate",12,444125.2,583911,161663564.1,236081561.48
"Olmesartan Medoxomil","Olmesartan Medoxomil",8,474766,773533,123490460.6,228152746.78
"Pioglitazone HCl","Pioglitazone HCl",12,589919.2,809827,152105632.8,226945273.57
"Lovastatin","Lovastatin",12,1017122.7,681080,318147703.2,223247348.23
"Farxiga","Dapagliflozin Propanediol",10,263219.7,993909,56163302,222129205
"Triamterene-Hydrochlorothiazid","Triamterene/Hydrochlorothiazid",12,940630.5,769706,247224258.6,217820193.72
"Januvia","Sitagliptin Phosphate",12,854916.7,843391,209445176.4,216685586.11
"Constulose","Lactulose",12,43300.1,84604,117727275.9,211952065.1
"Paroxetine HCl","Paroxetine HCl",12,773508,697107,211594437.4,208272812.22
"Oxybutynin Chloride ER","Oxybutynin Chloride",12,683138,881680,142479899.7,207695389.12
"Oxybutynin Chloride","Oxybutynin Chloride",12,621224.8,588870,222945811.9,205453022.83
"Breo Ellipta","Fluticasone/Vilanterol",11,437497.2,556799,144035825.4,198042424.4
"Enalapril Maleate","Enalapril Maleate",12,676488.1,482684,251452809.7,196661050.93
"Bupropion HCl SR","Bupropion HCl",12,518748.4,544930,168560540.5,195258812.87
"Amoxicillin","Amoxicillin",12,4868316.4,6202496,156463838.1,192850592.14
"Sevelamer Carbonate","Sevelamer Carbonate",7,109003.7,185489,156867413.8,192711419.67
"Chlorthalidone","Chlorthalidone",12,507657.5,783324,116143852.2,191523980.89
"Naproxen","Naproxen",12,1449760.2,1344536,221753673.8,191154203.39
"Risperidone","Risperidone",12,563063.6,478904,201558065.9,190322594.82
"Esomeprazole Magnesium","Esomeprazole Magnesium",9,682804.9,685529,162656284.4,189275768.2
"Irbesartan","Irbesartan",12,428756.8,600969,118032991.4,188877011.5
"Benazepril HCl","Benazepril HCl",12,616964.7,540761,199635206.6,188748910.13
"Pramipexole Dihydrochloride","Pramipexole Di-HCl",12,322903.8,366660,150388510.7,186356896.13
"Methocarbamol*","Methocarbamol",10,495596.6,1036252,95047553.6,185995431.89
"Cephalexin","Cephalexin",12,4106060.9,5051787,158085640.7,184897876.76
"Estradiol*","Estradiol",10,735945.5,1289816,122224000.6,184892355.69
"Primidone","Primidone",12,219036.1,279909,134524022,179832234.24
"Amiodarone HCl*","Amiodarone HCl",10,657400.8,797134,144354084.3,174513700.9
"Doxazosin Mesylate","Doxazosin Mesylate",12,524904.7,528955,154561891.2,173660318.06
"Bumetanide*","Bumetanide",10,403896.1,522275,116834668.7,169202261.79
"Myrbetriq","Mirabegron",12,408551.8,769978,81330343.2,162854788.1
"Creon","Lipase/Protease/Amylase",12,134339.8,185325,112872011.5,162431874.04
"Meclizine HCl","Meclizine HCl",12,1136964.4,1294975,148501106.6,160926678.02
"Flecainide Acetate","Flecainide Acetate",12,193886.4,300093,102535094.4,159405591.44
"Enulose","Lactulose",12,35635.1,52079,113064778.4,153748923.07
"Omega-3 Acid Ethyl Esters","Omega-3 Acid Ethyl Esters",10,271551.1,223941,166875923.1,153176093.13
"Doxycycline Hyclate*","Doxycycline Hyclate",10,2812869.6,4121486,112544915.3,151834848.94
"Hydrocortisone*","Hydrocortisone",10,871143.4,1257661,103798455.1,150011637.05
"Ramipril","Ramipril",12,477243.3,388707,163242563.5,149866108.12
"Acyclovir*","Acyclovir",10,660833.1,670065,123445992.2,149400333.27
"Labetalol HCl*","Labetalol HCl",10,247727.4,242891,145984299.7,148972248.92
"Aripiprazole","Aripiprazole",9,488583.7,613179,107398353.3,148225358
"Fenofibrate","Fenofibrate",12,493585.2,500170,134281131.8,143772577.81
"Midodrine HCl","Midodrine HCl",12,188437.3,355371,76330391,142254480.03
"Diazepam*","Diazepam",10,972421.6,872368,178548960.3,137247210.33
"Olanzapine*","Olanzapine",10,441795.5,516737,116896796.3,135172604.14
"Ondansetron HCl*","Ondansetron HCl",10,1533215.4,2094495,102683737.2,134846372.18
"Sotalol","Sotalol HCl",12,243879.2,262533,117065016.7,133283893.67
"Restasis","Cyclosporine",12,522150.4,492479,127524122.5,132524538.5
"Amoxicillin-Clavulanate Potass","Amoxicillin/Potassium Clav",12,3495999.1,5205096,93782121.1,131953724.51
"Amlodipine Besylate-Benazepril","Amlodipine Besylate/Benazepril",12,427320.6,419160,122721261.6,130859297
"Divalproex Sodium ER","Divalproex Sodium",12,256106.5,232066,138926121,130429767.77
"Oxcarbazepine","Oxcarbazepine",12,168112.2,195822,103719233.2,129505178.73
"Carbamazepine","Carbamazepine",12,163064.2,135324,154496119.5,128338342.77
"Terazosin HCl","Terazosin HCl",12,425858.2,339977,148964401.4,128181947
"Valsartan-Hydrochlorothiazide","Valsartan/Hydrochlorothiazide",12,504260.4,422476,126423208.6,126875103.92
"Clobetasol Propionate","Clobetasol Propionate",12,920501.4,1250981,97863440.6,123908945.84
